vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,mastery_points,ratings,,,,,,,
WA-SS-CIVICS,group,Civics,,,,,active,,,,,,,,,,
C1,group,"C1: Understands key ideals and principles of the United States, including those in the Declaration of Independence, Constitution, and other foundational documents.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C1.6-8.3,outcome,C1.6-8.3,"Explain key ideals and principles outlined in the Declaration of Independence, including life, liberty, and the pursuit of happiness; the U.S. Constitution, including the rule of law, separation of powers, representative government, and popular sovereignty; and, the Bill of Rights, including due process and freedom of expression.",C1.6-8.3,highest,,active,C1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C1.6-8.4,outcome,C1.6-8.4,Evaluate efforts to reduce discrepancies between key ideals and reality in the United States.,C1.6-8.4,highest,,active,C1,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C2,group,"C2: Understands the purposes, organization, and function of governments, laws, and political systems.",,,,,active,WA-SS-CIVICS,,,,,,,,,
C2.6-8.3,outcome,C2.6-8.3,Analyze the structure and powers of government at the national level.,C2.6-8.3,highest,,active,C2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C2.6-8.4,outcome,C2.6-8.4,Use knowledge of the function of government to analyze and address a political issue.,C2.6-8.4,highest,,active,C2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C2.6-8.5,outcome,C2.6-8.5,Evaluate the effectiveness of the system of checks and balances in the United States based on an event.,C2.6-8.5,highest,,active,C2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C2.6-8.6,outcome,C2.6-8.6,Demonstrate that the U.S. government includes concepts of both a democracy and a republic.,C2.6-8.6,highest,,active,C2,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C3,group,C3: Understands the purposes and organization of tribal and international relationships and U.S. foreign policy.,,,,,active,WA-SS-CIVICS,,,,,,,,,
C3.6-8.5,outcome,C3.6-8.5,Identify early examples of foreign policy between the United States and other nations.,C3.6-8.5,highest,,active,C3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C3.6-8.6,outcome,C3.6-8.6,Analyze how the United States has interacted with other countries.,C3.6-8.6,highest,,active,C3,3,4,Exemplary — exceeds expectations at this time,3,Proficient — meets expectations at this time,2,Progressing — approaching expectations at this time,1,Beginning — below expectations at this time
C4,group,C4: Understands civic involvement.,,,,,active,WA-SS-CIVICS,,,,,,,,,
